🔥 오늘의 신고가 34건 (20억 돌파 1건) (2026-08-13 · 2020년 이후 최고가 기준)

🎉 오늘의 돌파 1건

20억 돌파
성남시분당구 / 상록마을(라이프2차) / 34평 / 20.7억 (직전 19.6억)

─────────────────

📋 신고가 전체 34건 (거래가 큰 순)
성남시분당구 / 상록마을(라이프2차) / 34평 / 20.7억 🎉 20억 돌파
은평구 / DMC센트럴자이(3단지) / 34평 / 19.1억
송파구 / 가락쌍용(2차) / 25평 / 17.7억
강서구 / 마곡13단지힐스테이트마스터 / 25평 / 16.6억
성남시분당구 / 효자촌(현대) / 25평 / 16.5억
은평구 / DMC파인시티자이 / 34평 / 16.2억
은평구 / DMC센트럴자이(2단지) / 25평 / 15.8억
하남시 / 미사강변푸르지오 / 34평 / 15.55억
중랑구 / 사가정센트럴아이파크 / 34평 / 15.4억
안양시동안구 / 평촌트리지아 / 34평 / 14억
강서구 / 우장산롯데캐슬 / 34평 / 13.5억
영등포구 / 삼환 / 25평 / 13.3억
성북구 / 래미안크리시엘 / 34평 / 12.7억
안양시만안구 / 래미안안양메가트리아 / 34평 / 12억
남양주시 / 다산롯데캐슬 / 34평 / 11.95억
하남시 / 미사강변루나리움 / 25평 / 11.8억
구로구 / 한마을 / 34평 / 11억
수원시영통구 / 영통아이파크캐슬1단지 / 25평 / 10.7억
동대문구 / 쌍용 / 25평 / 10.43억
남양주시 / 다산반도유보라메이플타운 / 34평 / 9.98억
성남시중원구 / 현대 / 34평 / 9.9억
화성시병점구 / 병점역아이파크캐슬 / 34평 / 9.25억
성남시중원구 / 아튼빌 / 34평 / 8.95억
중랑구 / 건영2차아파트 / 34평 / 8.9억
안양시동안구 / 관악 / 25평 / 8.7억
수원시팔달구 / 힐스테이트푸르지오수원 / 25평 / 8.48억
수원시장안구 / 북수원자이렉스비아 / 25평 / 8.22억
광명시 / 주공10 / 25평 / 8.2억
수원시팔달구 / 수원센트럴아이파크자이 / 25평 / 8억
수원시장안구 / 화서역푸르지오더에듀포레 / 25평 / 7.75억
구리시 / 주공6 / 25평 / 7.65억
수원시영통구 / 늘푸른벽산 / 34평 / 6.67억
수원시영통구 / 원천레이크파크 / 25평 / 5.98억
오산시 / 세교파라곤 / 34평 / 5.1억
