# 위릿 이미지 자동취득 매니페스트. TAB 구분: slug<TAB>source<TAB>title_or_query
#  source=category  : Category:이름 → 코드가 자유 라이선스 정면/공식 사진 자동 선택
#  source=wikipedia : 위키백과 문서 제목 → 그 인물 대표사진(생존 인물은 사실상 자유 라이선스)
#  source=wikimedia : File:제목 고정  |  source=pexels|pixabay : 검색어(키 필요)
# push→photo-batch.yml 자동 취득→photos 저장→누끼(-cut.png)→catalog. 이미 있으면 건너뜀. 카드: photo="<slug>-cut.png"

chumiae	category	Category:Choo Mi-ae
lee-jaemyung	wikimedia	File:Lee Jae-myung's Portrait (2025.6.4) (cropped).jpg
kim-dongyeon	category	Category:Kim Dong-yeon
nam-kyungpil	wikipedia	Nam Kyung-pil
kim-moonsoo	wikimedia	File:Moon Soo KIM.jpg
roh-moohyun	wikipedia	Roh Moo-hyun
lee-myungbak	wikipedia	Lee Myung-bak
park-geunhye	wikipedia	Park Geun-hye
moon-jaein	wikipedia	Moon Jae-in
yoon-sukyeol	wikipedia	Yoon Suk-yeol
moon-jaein2	category	Category:Moon Jae-in
yoon-sukyeol2	category	Category:Yoon Suk-yeol
